Core: hps_sdram_p0 - Instance: the_system|acl_iface|hps|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.485,0.481
"Bus Turnaround Time (Slow 1100mV 85C Model)",2.765,--
"Core (Slow 1100mV 85C Model)",1.73,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.375,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.438,0.266
"Postamble (Slow 1100mV 85C Model)",0.52,0.52
"Read Capture (Slow 1100mV 85C Model)",0.241,0.194
"Write (Slow 1100mV 85C Model)",0.259,0.259
"Address Command (Slow 1100mV 0C Model)",0.471,0.482
"Bus Turnaround Time (Slow 1100mV 0C Model)",2.79,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.468,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.446,0.301
"Postamble (Slow 1100mV 0C Model)",0.505,0.505
"Read Capture (Slow 1100mV 0C Model)",0.257,0.21
"Write (Slow 1100mV 0C Model)",0.271,0.271
"Address Command (Fast 1100mV 85C Model)",0.515,0.528
"Bus Turnaround Time (Fast 1100mV 85C Model)",2.898,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.523,0.377
"Postamble (Fast 1100mV 85C Model)",0.597,0.597
"Read Capture (Fast 1100mV 85C Model)",0.378,0.331
"Write (Fast 1100mV 85C Model)",0.329,0.329
"Address Command (Fast 1100mV 0C Model)",0.479,0.556
"Bus Turnaround Time (Fast 1100mV 0C Model)",2.91,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.524,0.4
"Postamble (Fast 1100mV 0C Model)",0.603,0.603
"Read Capture (Fast 1100mV 0C Model)",0.379,0.331
"Write (Fast 1100mV 0C Model)",0.342,0.342
